户型,月租,面积,朝向,层数,小区
朝南一室户整租,6573元/月,以现场勘察为准,"
朝南
",2 / 7层,中建锦绣天地酒店式公寓
洞泾站,1993元/月,以现场勘察为准,"
朝北
",16 / 26层,塘和家园顺康苑
乐都西路1636弄,2116元/月,以现场勘察为准,"
朝南
",7 / 12层,荣乐雅筑
松江体育中心,2113元/月,以现场勘察为准,"
朝南
",1 / 12层,松江府
塘和家园顺康苑,1935元/月,以现场勘察为准,"
朝北
",16 / 26层,塘和家园顺康苑
精装白领公寓,2238元/月,以现场勘察为准,"
朝南
",4 / 6层,华亭新家百合苑
王家厍路,2513元/月,以现场勘察为准,"
朝南
",16 / 26层,塘和家园顺康苑
塘和家园顺康苑,1935元/月,以现场勘察为准,"
朝北
",16 / 26层,塘和家园顺康苑
松江老城,2347元/月,以现场勘察为准,"
朝南
",13 / 18层,五丰苑（二期）
精装白领公寓,2150元/月,以现场勘察为准,"
朝南
",5 / 6层,华亭新家百合苑
荣乐西路106弄,2238元/月,以现场勘察为准,"
朝南
",11 / 18层,五丰苑（二期）
松江大学城,3187元/月,以现场勘察为准,"
朝南
",2 / 6层,其灵公寓
南桥,1816元/月,以现场勘察为准,"
朝南
",3 / 6层,古华新村A区
北桥,3371元/月,以现场勘察为准,"
朝南
",1 / 2层,馨香酒店式公寓
,1911元/月,以现场勘察为准,"
朝南
",4 / 6层,鑫通公寓
南桥镇,1705元/月,以现场勘察为准,"
朝南
",4 / 6层,育秀东区
北桥,3355元/月,以现场勘察为准,"
朝南
",1 / 2层,馨香酒店式公寓
塘和家园顺康苑,2241元/月,以现场勘察为准,"
朝南
",6 / 26层,塘和家园顺康苑
爱里舍,2112元/月,以现场勘察为准,"
朝南
",5 / 5层,爱里舍
新松嘉园,2580元/月,以现场勘察为准,"
朝南
",5 / 10层,新松嘉园
新松嘉园,2434元/月,以现场勘察为准,"
朝南
",5 / 10层,新松嘉园
