城市,区域,小区名称,户型分类,户型类型,面积,装修类型,价格,付款方式,更新时间
杭州,钱塘新区,盛泰名都公寓,3室1厅1卫,1.标准平面,20㎡,精装修,1350元/月,押一付一,07-12
杭州,余杭,嘉丰万悦城(北区),4室1厅2卫,1.标准平面,11㎡,精装修,650元/月,押一付一,1小时前
杭州,滨江,滨江倾城之恋,3室1厅1卫,1.标准平面,21㎡,精装修,1330元/月,押一付一,07-12
杭州,西湖,文三西路39号,3室1厅1卫,1.标准平面,20㎡,精装修,1150元/月,押一付一,07-12
杭州,钱塘新区,星野花苑四区,3室1厅1卫,1.标准平面,21㎡,精装修,1140元/月,押一付一,07-12
杭州,钱塘新区,星野花苑四区,3室1厅1卫,1.标准平面,19㎡,精装修,1070元/月,押一付一,07-13
杭州,拱墅,杭办大厦,3室1厅1卫,1.标准平面,22㎡,精装修,1070元/月,押一付一,07-13
杭州,江干,后珠辰秀嘉园(南区),3室1厅1卫,1.标准平面,23㎡,精装修,1030元/月,押一付一,07-12
杭州,萧山,科尔世纪外滩(公寓),1室1厅1卫,1.标准平面,30㎡,精装修,1550元/月,押一付一,2天前
杭州,钱塘新区,星野花苑四区,3室1厅1卫,1.标准平面,21㎡,精装修,1190元/月,押一付一,07-13
杭州,钱塘新区,星野花苑四区,3室1厅1卫,1.标准平面,21㎡,精装修,1010元/月,押一付一,07-12
杭州,钱塘新区,高沙公寓,3室1厅1卫,1.标准平面,20㎡,精装修,1180元/月,押一付一,07-12
杭州,西湖,伟星公寓,3室1厅1卫,1.标准平面,18㎡,精装修,970元/月,押一付一,07-04
杭州,西湖,翠苑东二区,3室1厅1卫,1.标准平面,18㎡,精装修,1110元/月,押一付一,07-03
杭州,滨江,半岛国际,3室1厅1卫,1.标准平面,19㎡,精装修,1380元/月,押一付一,07-11
杭州,上城,姚园寺巷20号小区,3室1厅1卫,1.标准平面,22㎡,精装修,1840元/月,押一付一,07-13
杭州,江干,大唐城,3室1厅1卫,1.标准平面,18㎡,精装修,1590元/月,押一付一,07-12
杭州,钱塘新区,盛泰名都公寓,3室1厅1卫,1.标准平面,20㎡,精装修,1350元/月,押一付一,07-12
杭州,余杭,嘉丰万悦城(北区),4室1厅2卫,1.标准平面,11㎡,精装修,650元/月,押一付一,1小时前
杭州,滨江,滨江倾城之恋,3室1厅1卫,1.标准平面,21㎡,精装修,1330元/月,押一付一,07-12
杭州,西湖,文三西路39号,3室1厅1卫,1.标准平面,20㎡,精装修,1150元/月,押一付一,07-12
杭州,钱塘新区,星野花苑四区,3室1厅1卫,1.标准平面,19㎡,精装修,1070元/月,押一付一,07-13
杭州,拱墅,杭办大厦,3室1厅1卫,1.标准平面,22㎡,精装修,1070元/月,押一付一,07-13
杭州,钱塘新区,丽泽苑,3室1厅1卫,1.标准平面,20㎡,精装修,1970元/月,押一付一,07-12
杭州,余杭,起梦公园,3室1厅1卫,1.标准平面,20㎡,精装修,1100元/月,押一付一,07-10
杭州,江干,万科草庄,3室1厅1卫,1.标准平面,18㎡,精装修,1560元/月,押一付一,07-03
杭州,钱塘新区,蒲公英天地,3室1厅1卫,1.标准平面,19㎡,精装修,1360元/月,押一付一,07-12
杭州,上城,钱塘人家,3室1厅1卫,1.标准平面,20㎡,精装修,2050元/月,押一付一,07-12
